"Cisco Identity Services Engine Log Messages Reference, Release 2.0",,,,
Message Code,Message Class,Message Text,Message Description,Severity
3000,Radius-Accounting,RADIUS Accounting start request,RADIUS Accounting start request,NOTICE
3001,Radius-Accounting,RADIUS Accounting stop request,RADIUS Accounting stop request,NOTICE
3002,Radius-Accounting,RADIUS Accounting watchdog update,RADIUS Accounting watchdog update,NOTICE
3003,Radius-Accounting,RADIUS Accounting is on,RADIUS Accounting is on,NOTICE
3004,Radius-Accounting,RADIUS Accounting is off,RADIUS Accounting is off,NOTICE
3005,Radius-Accounting,RADIUS Accounting tunnel start request,RADIUS Accounting tunnel start request,NOTICE
3006,Radius-Accounting,RADIUS Accounting tunnel stop request,RADIUS Accounting tunnel stop request,NOTICE
3007,Radius-Accounting,RADIUS Accounting tunnel rejected,RADIUS Accounting tunnel rejected,NOTICE
3008,Radius-Accounting,RADIUS Accounting tunnel link start,RADIUS Accounting tunnel link start,NOTICE
3009,Radius-Accounting,RADIUS Accounting tunnel link stop,RADIUS Accounting tunnel link stop,NOTICE
3010,Radius-Accounting,RADIUS Accounting tunnel link rejected,RADIUS Accounting tunnel link rejected,NOTICE
3300,Tacacs-Accounting,TACACS+ Accounting with Command,Received a TACACS+ Accounting request containing a command,Notice
3301,Tacacs-Accounting,TACACS+ Accounting START,Received a TACACS+ Accounting start request,Notice
3302,Tacacs-Accounting,TACACS+ Accounting STOP,Received a TACACS+ Accounting stop request,Notice
3303,Tacacs-Accounting,TACACS+ Accounting WATCHDOG,Received a TACACS+ Accounting watchdog request,Notice
3304,Tacacs-Accounting,TACACS+ Accounting request rejected,TACACS+ Accounting request rejected,Notice
5200,Passed-Authentication,Authentication succeeded,User authentication ended successfully,NOTICE
5201,Passed-Authentication,Authentication succeeded,User authentication ended successfully,NOTICE
5202,Device-Administration,Command Authorization succeeded,The requested Command Authorization passed,NOTICE
5203,Device-Administration,Session Authorization succeeded,The requested Session Authorization passed,NOTICE
5204,Passed-Authentication,Change password succeeded,User change password ended successfully,NOTICE
5205,Dynamic-Authorization,Dynamic Authorization succeeded,Dynamic Authorization succeeded,NOTICE
5206,Passed-Authentication,PAC provisioned,Access rejected after successful in-band PAC provisioning,NOTICE
5231,Guest,Guest Authentication Passed,Guest Authentication Passed,NOTICE
5232,Passed-Authentication,DACL Download Succeeded,DACL Download Succeeded,NOTICE
5233,Passed-Authentication,TrustSec Data Download Succeeded,TrustSec Data Download Succeeded,NOTICE
5234,Passed-Authentication,TrustSec Peer Policy Download Succeeded,TrustSec Peer Policy Download Succeeded,NOTICE
5236,Passed-Authentication,Authorize-Only succeeded,Authorize-Only ended successfully,NOTICE
5237,Guest,Device Registration Web Authentication Passed,Device Registration Web Authentication passed,NOTICE
5238,RADIUS,Endpoint authentication problem was fixed,Endpoint authentication problem was fixed,WARN
5239,RADIUS,NAS problem was fixed,NAS problem was fixed,WARN
5400,Failed-Attempt,Authentication failed,User authentication failed. See FailureReason for more information,NOTICE
5401,Failed-Attempt,Authentication failed,User authentication failed. See FailureReason for more information,NOTICE
5402,Failed-Attempt,Command Authorization failed,Command Authorization failed,NOTICE
5403,Device-Administration,Session Authorization failed,Session Authorization failed,NOTICE
5404,Device-Administration,Authorization failed,Authorization failed,NOTICE
5405,Failed-Attempt,RADIUS Request dropped,RADIUS request dropped,NOTICE
5406,Failed-Attempt,TACACS+ Request dropped,TACACS+ request dropped,NOTICE
5407,Failed-Attempt,TACACS+ Authorization failed,TACACS+ Authorization failed,NOTICE
5408,Failed-Attempt,Command Authorization encountered an error,Command Authorization encountered error. See FailureReason for more information,NOTICE
5409,Failed-Attempt,Session Authorization encountered an error,Session Authorization encountered an error. See FailureReason for more information,NOTICE
5410,Failed-Attempt,TACACS+ Authorization encountered an error,TACACS+ Authorization encountered an error,NOTICE
